checkpoint,generation,annotation
epoch_1.pt,"Once upon a of
 was very the. with "" took it go was her who laughed to telling,""! sheman
 toy paper would, could bigger but wanted","Once upon a of
 was very the. with "" took it go was her who laughed to telling,""! sheman
 toy paper would, could bigger but wanted"
epoch_2.pt,"Once upon a a, to did said and. didn the
 very bright places't They loved. if. was on smiled. special ever, time were store""","Once upon a a, to did said and. didn the
 very bright places't They loved. if. was on smiled. special ever, time were store"""
epoch_3.pt,"Once upon aIt., was on to They and D
 the day like Benny."" big, done said mom Sam up something shining three in her Tim made Lily","Once upon aIt., was on to They and D
 the day like Benny."" big, done said mom Sam up something shining three in her Tim made Lily"
epoch_4.pt,"Once upon a was be theThe so what

 for day. to, SheCan itL dance she very in and andOne couldn feel little, turned The","Once upon a was be theThe so what

 for day. to, SheCan itL dance she very in and andOne couldn feel little, turned The"
epoch_5.pt,"Once upon a. and "" to wanted upon were. for park sorry
 was so the when warm want came as, he and He
 I his car what said","Once upon a. and "" to wanted upon were. for park sorry
 was so the when warm want came as, he and He
 I his car what said"
epoch_6.pt,"Once upon a Ben!"" did. she girl they night! is,
,. took go. to there course had his it started was walked saw asked and little","Once upon a Ben!"" did. she girl they night! is,
,. took go. to there course had his it started was walked saw asked and little"
epoch_7.pt,"Once upon a her girl, "" showOne. of was with was got putâ found
 from behind Sam him she ground It angry their the when. found saw","Once upon a her girl, "" showOne. of was with was got putâ found
 from behind Sam him she ground It angry their the when. found saw"
epoch_8.pt,"Once upon a small, �
. were wanted something sad Sara on a was really.,"" your away One day put flying Tom and big She a Tom touch Lily","Once upon a small, �
. were wanted something sad Sara on a was really.,"" your away One day put flying Tom and big She a Tom touch Lily"
epoch_9.pt,"Once upon a and, was time when to
 the he around. so it
 old dad she my because so play But work Tim buy every and her ""","Once upon a and, was time when to
 the he around. so it
 old dad she my because so play But work Tim buy every and her """
epoch_10.pt,"Once upon a little and
 big themy dad she of going around She idea, were and on day! and in. "" to people Jack
 new very time","Once upon a little and
 big themy dad she of going around She idea, were and on day! and in. "" to people Jack
 new very time"
